secid,date,sic,low,high,open,close
108105,2014-06-19,9999,1952.26,1959.87,1957.5,1959.48
108105,2014-06-20,9999,1959.17,1963.91,1960.45,1962.87
108105,2014-06-23,9999,1958.89,1963.74,1962.92,1962.61
108105,2014-06-24,9999,1948.34,1968.17,1961.97,1949.98
108105,2014-06-25,9999,1947.49,1960.83,1949.27,1959.53
108105,2014-06-26,9999,1944.69,1959.89,1959.89,1957.22
108105,2014-06-27,9999,1952.18,1961.47,1956.56,1960.96
108105,2014-06-30,9999,1958.22,1964.24,1960.79,1960.23
108105,2014-07-01,9999,1962.29,1978.58,1962.29,1973.32
108105,2014-07-02,9999,1972.58,1976.67,1973.06,1974.62
108105,2014-07-03,9999,1975.88,1985.59,1975.88,1985.44
108105,2014-07-07,9999,1974.88,1984.22,1984.22,1977.65
108105,2014-07-08,9999,1959.46,1976.39,1976.39,1963.71
108105,2014-07-09,9999,1965.1,1974.15,1965.1,1972.83
108105,2014-07-10,9999,1952.86,1969.84,1966.67,1964.68
108105,2014-07-11,9999,1959.63,1968.67,1965.76,1967.57
108105,2014-07-14,9999,1969.86,1979.85,1969.86,1977.1
108105,2014-07-15,9999,1965.34,1982.52,1977.36,1973.28
108105,2014-07-16,9999,1975.67,1983.94,1976.35,1981.57
108105,2014-07-17,9999,1955.59,1981.8,1979.75,1958.12
108105,2014-07-18,9999,1960.82,1979.91,1961.54,1978.22
108105,2014-07-21,9999,1965.77,1976.93,1976.93,1973.63
108105,2014-07-22,9999,1975.65,1986.24,1975.65,1983.53
108105,2014-07-23,9999,1982.44,1989.23,1985.32,1987.01
108105,2014-07-24,9999,1985.79,1991.39,1988.07,1987.98
108105,2014-07-25,9999,1974.37,1984.6,1984.6,1978.34
108105,2014-07-28,9999,1967.31,1981.52,1978.25,1978.91
108105,2014-07-29,9999,1969.95,1984.85,1980.03,1969.95
108105,2014-07-30,9999,1962.42,1978.9,1973.21,1970.07
108105,2014-07-31,9999,1930.67,1965.14,1965.14,1930.67
108105,2014-08-01,9999,1916.37,1937.35,1929.8,1925.15
108105,2014-08-04,9999,1921.2,1942.92,1926.62,1938.99
108105,2014-08-05,9999,1913.77,1936.34,1936.34,1920.21
108105,2014-08-06,9999,1911.45,1927.91,1917.29,1920.24
108105,2014-08-07,9999,1904.78,1928.89,1923.03,1909.57
108105,2014-08-08,9999,1909.01,1932.38,1910.35,1931.59
108105,2014-08-11,9999,1933.43,1944.9,1933.43,1936.92
108105,2014-08-12,9999,1928.29,1939.65,1935.73,1933.75
108105,2014-08-13,9999,1935.6,1948.41,1935.6,1946.72
108105,2014-08-14,9999,1947.41,1955.23,1947.41,1955.18
108105,2014-08-15,9999,1941.5,1964.04,1958.87,1955.06
108105,2014-08-18,9999,1958.36,1971.99,1958.36,1971.74
108105,2014-08-19,9999,1972.73,1982.57,1972.73,1981.6
108105,2014-08-20,9999,1977.68,1988.57,1980.46,1986.51
108105,2014-08-21,9999,1986.82,1994.76,1986.82,1992.37
108105,2014-08-22,9999,1984.76,1993.54,1992.6,1988.4
108105,2014-08-25,9999,1991.74,2001.95,1991.74,1997.92
108105,2014-08-26,9999,1998.59,2005.04,1998.59,2000.02
108105,2014-08-27,9999,1996.2,2002.14,2000.54,2000.12
108105,2014-08-28,9999,1990.52,1998.55,1997.42,1996.74
108105,2014-08-29,9999,1994.65,2003.38,1998.45,2003.37
108105,2014-09-02,9999,1994.85,2006.12,2004.07,2002.28
108105,2014-09-03,9999,1998.14,2009.28,2003.57,2000.72
108105,2014-09-04,9999,1992.54,2011.17,2001.67,1997.65
108105,2014-09-05,9999,1990.1,2007.71,1998,2007.71
108105,2014-09-08,9999,1995.6,2007.17,2007.17,2001.54
108105,2014-09-09,9999,1984.61,2001.01,2000.73,1988.44
108105,2014-09-10,9999,1982.99,1996.66,1988.41,1995.69
108105,2014-09-11,9999,1985.93,1997.65,1992.85,1997.45
108105,2014-09-12,9999,1980.26,1996.74,1996.74,1985.54
108105,2014-09-15,9999,1978.48,1987.18,1986.04,1984.13
108105,2014-09-16,9999,1979.06,2002.28,1981.93,1998.98
108105,2014-09-17,9999,1993.29,2010.74,1999.3,2001.57
108105,2014-09-18,9999,2003.07,2012.34,2003.07,2011.36
108105,2014-09-19,9999,2006.59,2019.26,2012.74,2010.4
108105,2014-09-22,9999,1991.01,2009.08,2009.08,1994.29
108105,2014-09-23,9999,1982.77,1995.41,1992.78,1982.77
108105,2014-09-24,9999,1978.63,1999.79,1983.34,1998.3
108105,2014-09-25,9999,1965.99,1997.32,1997.32,1965.99
108105,2014-09-26,9999,1966.22,1986.37,1966.22,1982.85
108105,2014-09-29,9999,1964.04,1981.28,1978.96,1977.8
108105,2014-09-30,9999,1968.96,1985.17,1978.21,1972.29
108105,2014-10-01,9999,1941.72,1971.44,1971.44,1946.16
108105,2014-10-02,9999,1926.03,1952.32,1945.83,1946.17
108105,2014-10-03,9999,1948.12,1971.19,1948.12,1967.9
108105,2014-10-06,9999,1958.43,1977.84,1970.01,1964.82
108105,2014-10-07,9999,1934.87,1962.36,1962.36,1935.1
108105,2014-10-08,9999,1925.25,1970.36,1935.55,1968.89
108105,2014-10-09,9999,1927.56,1967.68,1967.68,1928.21
108105,2014-10-10,9999,1906.05,1936.98,1925.63,1906.13
108105,2014-10-13,9999,1874.14,1912.09,1905.65,1874.74
108105,2014-10-14,9999,1871.79,1898.71,1877.11,1877.7
108105,2014-10-15,9999,1820.66,1874.18,1874.18,1862.49
108105,2014-10-16,9999,1835.02,1876.01,1855.95,1862.76
108105,2014-10-17,9999,1864.91,1898.16,1864.91,1886.76
108105,2014-10-20,9999,1882.3,1905.03,1885.62,1904.01
108105,2014-10-21,9999,1909.38,1942.45,1909.38,1941.28
108105,2014-10-22,9999,1926.83,1949.31,1941.29,1927.11
108105,2014-10-23,9999,1931.02,1961.95,1931.02,1950.82
108105,2014-10-24,9999,1946.27,1965.27,1951.59,1964.58
108105,2014-10-27,9999,1951.37,1964.64,1962.97,1961.63
108105,2014-10-28,9999,1964.14,1985.05,1964.14,1985.05
108105,2014-10-29,9999,1969.04,1991.4,1983.29,1982.3
108105,2014-10-30,9999,1974.75,1999.4,1979.49,1994.65
108105,2014-10-31,9999,2001.2,2018.19,2001.2,2018.05
108105,2014-11-03,9999,2013.68,2024.46,2018.21,2017.81
108105,2014-11-04,9999,2001.01,2015.98,2015.81,2012.1
108105,2014-11-05,9999,2014.42,2023.77,2015.29,2023.57
108105,2014-11-06,9999,2015.86,2031.61,2023.33,2031.21
108105,2014-11-07,9999,2025.07,2034.26,2032.36,2031.92
108105,2014-11-10,9999,2030.17,2038.7,2032.01,2038.26
108105,2014-11-11,9999,2035.28,2041.28,2038.2,2039.68
108105,2014-11-12,9999,2031.95,2040.33,2037.75,2038.25
108105,2014-11-13,9999,2030.44,2046.18,2039.21,2039.33
108105,2014-11-14,9999,2035.2,2042.22,2039.74,2039.82
108105,2014-11-17,9999,2034.46,2043.07,2038.29,2041.32
108105,2014-11-18,9999,2041.48,2056.08,2041.48,2051.8
108105,2014-11-19,9999,2040.37,2052.14,2051.16,2048.72
108105,2014-11-20,9999,2040.49,2053.84,2045.87,2052.75
108105,2014-11-21,9999,2056.75,2071.46,2057.46,2063.5
108105,2014-11-24,9999,2065.07,2070.17,2065.07,2069.41
108105,2014-11-25,9999,2064.75,2074.21,2070.15,2067.03
108105,2014-11-26,9999,2066.62,2073.29,2067.36,2072.83
108105,2014-11-28,9999,2065.06,2075.76,2074.78,2067.56
108105,2014-12-01,9999,2049.57,2065.78,2065.78,2053.44
108105,2014-12-02,9999,2053.77,2068.77,2053.77,2066.55
108105,2014-12-03,9999,2066.65,2076.28,2067.45,2074.33
108105,2014-12-04,9999,2062.34,2077.34,2073.64,2071.92
108105,2014-12-05,9999,2070.81,2079.47,2072.78,2075.37
108105,2014-12-08,9999,2054.27,2075.78,2074.84,2060.31
108105,2014-12-09,9999,2034.17,2060.6,2056.55,2059.82
108105,2014-12-10,9999,2024.26,2058.86,2058.86,2026.14
108105,2014-12-11,9999,2027.92,2055.53,2027.92,2035.33
108105,2014-12-12,9999,2002.33,2032.25,2030.36,2002.33
108105,2014-12-15,9999,1982.26,2018.69,2005.03,1989.63
108105,2014-12-16,9999,1972.56,2016.89,1986.71,1972.74
108105,2014-12-17,9999,1973.77,2016.75,1973.77,2012.89
108105,2014-12-18,9999,2018.98,2061.23,2018.98,2061.23
108105,2014-12-19,9999,2061.03,2077.85,2061.04,2070.65
108105,2014-12-22,9999,2069.28,2078.76,2069.28,2078.54
108105,2014-12-23,9999,2079.77,2086.73,2081.48,2082.17
108105,2014-12-24,9999,2081.86,2087.56,2083.25,2081.88
108105,2014-12-26,9999,2084.3,2092.7,2084.3,2088.77
108105,2014-12-29,9999,2085.75,2093.55,2087.63,2090.57
108105,2014-12-30,9999,2079.53,2088.49,2088.49,2080.35
108105,2014-12-31,9999,2057.94,2085.58,2082.11,2058.9
108105,2015-01-02,9999,2046.04,2072.36,2058.9,2058.2
108105,2015-01-05,9999,2017.34,2054.44,2054.44,2020.58
108105,2015-01-06,9999,1992.44,2030.25,2022.15,2002.61
108105,2015-01-07,9999,2005.55,2029.61,2005.55,2025.9
108105,2015-01-08,9999,2030.61,2064.08,2030.61,2062.14
108105,2015-01-09,9999,2038.33,2064.43,2063.45,2044.81
108105,2015-01-12,9999,2022.58,2049.3,2046.13,2028.26
108105,2015-01-13,9999,2008.25,2056.93,2031.58,2023.03
108105,2015-01-14,9999,1988.44,2018.4,2018.4,2011.27
108105,2015-01-15,9999,1991.47,2021.35,2013.75,1992.67
108105,2015-01-16,9999,1988.12,2020.46,1992.25,2019.42
108105,2015-01-20,9999,2004.49,2028.94,2020.76,2022.55
108105,2015-01-21,9999,2012.04,2038.29,2020.19,2032.12
108105,2015-01-22,9999,2026.38,2064.62,2034.3,2063.15
108105,2015-01-23,9999,2050.54,2062.98,2062.98,2051.82
108105,2015-01-26,9999,2040.97,2057.62,2050.42,2057.09
108105,2015-01-27,9999,2019.91,2047.86,2047.86,2029.55
108105,2015-01-28,9999,2001.49,2042.49,2032.34,2002.16
108105,2015-01-29,9999,1989.18,2024.64,2002.45,2021.25
108105,2015-01-30,9999,1993.38,2023.32,2019.35,1994.99
108105,2015-02-02,9999,1980.9,2021.66,1996.67,2020.85
108105,2015-02-03,9999,2022.71,2050.3,2022.71,2050.03
108105,2015-02-04,9999,2036.72,2054.74,2048.86,2041.51
108105,2015-02-05,9999,2043.45,2063.55,2043.45,2062.52
108105,2015-02-06,9999,2049.97,2072.4,2062.28,2055.47
108105,2015-02-09,9999,2041.88,2056.16,2053.47,2046.74
108105,2015-02-10,9999,2048.62,2070.86,2049.38,2068.59
108105,2015-02-11,9999,2057.99,2073.48,2068.55,2068.53
108105,2015-02-12,9999,2069.98,2088.53,2069.98,2088.48
108105,2015-02-13,9999,2086.7,2097.03,2088.78,2096.99
108105,2015-02-17,9999,2089.8,2101.3,2096.47,2100.34
108105,2015-02-18,9999,2092.15,2100.23,2099.16,2099.68
108105,2015-02-19,9999,2090.79,2102.13,2099.25,2097.45
108105,2015-02-20,9999,2085.44,2110.61,2097.65,2110.3
108105,2015-02-23,9999,2103,2110.05,2109.83,2109.66
108105,2015-02-24,9999,2105.87,2117.94,2109.1,2115.48
108105,2015-02-25,9999,2109.89,2119.59,2115.3,2113.86
108105,2015-02-26,9999,2103.76,2113.91,2113.91,2110.74
108105,2015-02-27,9999,2103.75,2112.74,2110.88,2104.5
108105,2015-03-02,9999,2104.5,2117.52,2105.23,2117.39
108105,2015-03-03,9999,2098.26,2115.76,2115.76,2107.78
108105,2015-03-04,9999,2087.62,2107.72,2107.72,2098.53
108105,2015-03-05,9999,2095.22,2104.25,2098.54,2101.04
108105,2015-03-06,9999,2067.27,2100.91,2100.91,2071.26
108105,2015-03-09,9999,2072.21,2083.49,2072.25,2079.43
108105,2015-03-10,9999,2044.16,2076.14,2076.14,2044.16
108105,2015-03-11,9999,2039.69,2050.08,2044.69,2040.24
108105,2015-03-12,9999,2041.1,2066.41,2041.1,2065.95
108105,2015-03-13,9999,2041.17,2064.56,2064.56,2053.4
108105,2015-03-16,9999,2055.35,2081.41,2055.35,2081.19
108105,2015-03-17,9999,2065.08,2080.59,2080.59,2074.28
108105,2015-03-18,9999,2061.23,2106.85,2072.84,2099.5
108105,2015-03-19,9999,2085.56,2098.69,2098.69,2089.27
108105,2015-03-20,9999,2090.32,2113.92,2090.32,2108.1
108105,2015-03-23,9999,2104.42,2114.86,2107.99,2104.42
108105,2015-03-24,9999,2091.5,2107.63,2103.94,2091.5
108105,2015-03-25,9999,2061.05,2097.43,2093.1,2061.05
108105,2015-03-26,9999,2045.5,2067.15,2059.94,2056.15
108105,2015-03-27,9999,2052.96,2062.83,2055.78,2061.02
108105,2015-03-30,9999,2064.11,2088.97,2064.11,2086.24
108105,2015-03-31,9999,2067.04,2084.05,2084.05,2067.89
108105,2015-04-01,9999,2048.38,2067.63,2067.63,2059.69
108105,2015-04-02,9999,2057.32,2072.17,2060.03,2066.96
108105,2015-04-06,9999,2056.52,2086.99,2064.87,2080.62
108105,2015-04-07,9999,2076.1,2089.81,2080.79,2076.33
108105,2015-04-08,9999,2073.3,2086.69,2076.94,2081.9
108105,2015-04-09,9999,2074.29,2093.31,2081.29,2091.18
108105,2015-04-10,9999,2091.51,2102.61,2091.51,2102.06
108105,2015-04-13,9999,2092.33,2107.65,2102.03,2092.43
108105,2015-04-14,9999,2083.24,2098.62,2092.28,2095.84
108105,2015-04-15,9999,2097.82,2111.91,2097.82,2106.63
108105,2015-04-16,9999,2100.02,2111.3,2105.96,2104.99
108105,2015-04-17,9999,2072.37,2102.58,2102.58,2081.18
108105,2015-04-20,9999,2084.11,2103.94,2084.11,2100.4
108105,2015-04-21,9999,2094.38,2109.64,2102.82,2097.29
108105,2015-04-22,9999,2091.05,2109.98,2098.27,2107.96
108105,2015-04-23,9999,2103.19,2120.49,2107.21,2112.93
108105,2015-04-24,9999,2112.8,2120.92,2112.8,2117.69
108105,2015-04-27,9999,2107.04,2125.92,2119.29,2108.92
108105,2015-04-28,9999,2094.89,2116.09,2108.35,2114.76
108105,2015-04-29,9999,2097.41,2113.65,2112.49,2106.85
108105,2015-04-30,9999,2077.59,2105.52,2105.52,2085.51
108105,2015-05-01,9999,2087.38,2108.41,2087.38,2108.29
108105,2015-05-04,9999,2110.23,2120.95,2110.23,2114.49
108105,2015-05-05,9999,2088.46,2115.24,2112.63,2089.46
